Kaczmarz -> cdp, rand_init, n: 256, m: 1280, iter: 32, t: 1.7803, relres: 6.6765e-09, relerr: 1.06353e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1280, iter: 41, t: 2.29097, relres: 1.14582e-08, relerr: 1.90741e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1280, iter: 29, t: 1.59439, relres: 6.3732e-09, relerr: 1.08137e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1280, iter: 38, t: 2.08842, relres: 8.86961e-09, relerr: 1.57093e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1280, iter: 34, t: 1.89933, relres: 6.28707e-09, relerr: 1.05578e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1280, iter: 52, t: 2.91033, relres: 6.18104e-09, relerr: 1.13977e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1280, iter: 36, t: 2.19136, relres: 5.7069e-09, relerr: 1.02157e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1280, iter: 27, t: 1.58508, relres: 9.94747e-09, relerr: 1.64602e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1280, iter: 38, t: 2.15228, relres: 3.42725e-09, relerr: 5.94242e-09
Kaczmarz -> cdp, rand_init, n: 256, m: 1280, iter: 35, t: 1.98648, relres: 1.46166e-08, relerr: 2.70208e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1280, iter: 35, t: 2.01187, relres: 1.71069e-09, relerr: 2.87585e-09
Kaczmarz -> cdp, rand_init, n: 256, m: 1280, iter: 34, t: 2.25723, relres: 5.93828e-09, relerr: 1.07463e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1280, iter: 35, t: 2.22805, relres: 2.64369e-09, relerr: 4.87669e-09
Kaczmarz -> cdp, rand_init, n: 256, m: 1280, iter: 33, t: 2.02904, relres: 4.20416e-09, relerr: 7.04514e-09
Kaczmarz -> cdp, rand_init, n: 256, m: 1280, iter: 33, t: 2.06091, relres: 4.4582e-09, relerr: 7.56176e-09
Kaczmarz -> cdp, rand_init, n: 256, m: 1280, iter: 31, t: 1.72115, relres: 5.77024e-09, relerr: 9.68735e-09
Kaczmarz -> cdp, rand_init, n: 256, m: 1280, iter: 34, t: 1.87795, relres: 1.60303e-09, relerr: 2.76525e-09
Kaczmarz -> cdp, rand_init, n: 256, m: 1280, iter: 53, t: 2.95533, relres: 1.86373e-08, relerr: 3.14106e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1280, iter: 28, t: 1.54219, relres: 1.09579e-08, relerr: 1.73248e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1280, iter: 33, t: 2.20246, relres: 1.02143e-08, relerr: 1.69764e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1280, iter: 128, t: 7.46596, relres: 4.4535e-09, relerr: 7.77516e-09
Kaczmarz -> cdp, rand_init, n: 256, m: 1280, iter: 37, t: 2.06436, relres: 1.09905e-08, relerr: 1.94923e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1280, iter: 32, t: 1.79415, relres: 6.01204e-09, relerr: 1.04484e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1280, iter: 33, t: 2.11854, relres: 8.4414e-09, relerr: 1.53253e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1280, iter: 30, t: 1.8939, relres: 4.13982e-09, relerr: 7.21106e-09
Kaczmarz -> cdp, rand_init, n: 256, m: 1280, iter: 32, t: 1.86078, relres: 9.40168e-09, relerr: 1.55038e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1280, iter: 30, t: 1.84831, relres: 1.11303e-08, relerr: 1.96454e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1280, iter: 32, t: 1.81798, relres: 1.60824e-08, relerr: 2.72822e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1280, iter: 31, t: 1.75358, relres: 6.87571e-09, relerr: 1.23689e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1280, iter: 31, t: 1.76179, relres: 1.88136e-09, relerr: 3.15806e-09
Kaczmarz -> cdp, rand_init, n: 256, m: 1280, iter: 32, t: 1.78466, relres: 1.07901e-08, relerr: 1.94093e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1280, iter: 31, t: 2.06404, relres: 8.599e-09, relerr: 1.56079e-08
