Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1024, iter: 69, t: 0.104668, relres: 3.76246e-08, relerr: 5.45329e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1280, iter: 30, t: 0.052876, relres: 2.35676e-08, relerr: 3.39996e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1280, iter: 27, t: 0.045003, relres: 2.52281e-08, relerr: 3.34925e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1280, iter: 26, t: 0.047747, relres: 2.66515e-08, relerr: 3.77333e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1280, iter: 28, t: 0.052384, relres: 1.93388e-08, relerr: 2.63777e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1280, iter: 26, t: 0.042179, relres: 2.49352e-08, relerr: 3.51228e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1280, iter: 27, t: 0.041598, relres: 2.38836e-08, relerr: 3.09914e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1280, iter: 30, t: 0.054161, relres: 2.18795e-08, relerr: 2.77292e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1280, iter: 33, t: 0.051442, relres: 2.71225e-08, relerr: 3.64742e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1280, iter: 30, t: 0.059319, relres: 2.74581e-08, relerr: 3.47926e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1280, iter: 31, t: 0.048186, relres: 3.37563e-08, relerr: 4.11108e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1280, iter: 34, t: 0.055218, relres: 3.25661e-08, relerr: 4.09873e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1280, iter: 28, t: 0.043804, relres: 3.22067e-08, relerr: 4.1238e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1280, iter: 30, t: 0.047006, relres: 2.77006e-08, relerr: 3.71309e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1280, iter: 27, t: 0.042017, relres: 2.11507e-08, relerr: 2.75078e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1280, iter: 27, t: 0.042542, relres: 3.16255e-08, relerr: 4.08439e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1280, iter: 28, t: 0.043563, relres: 1.73431e-08, relerr: 2.40553e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1280, iter: 32, t: 0.050801, relres: 1.86515e-08, relerr: 2.37195e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1280, iter: 27, t: 0.048714, relres: 1.88074e-08, relerr: 2.40982e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1280, iter: 26, t: 0.043394, relres: 2.92623e-08, relerr: 3.85036e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1280, iter: 30, t: 0.052709, relres: 2.56234e-08, relerr: 3.41581e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1280, iter: 31, t: 0.051267, relres: 2.80504e-08, relerr: 3.93793e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1280, iter: 32, t: 0.058037, relres: 3.01736e-08, relerr: 3.66349e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1280, iter: 30, t: 0.051074, relres: 2.61729e-08, relerr: 3.65418e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1280, iter: 32, t: 0.051166, relres: 3.52826e-08, relerr: 4.70421e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1280, iter: 29, t: 0.045253, relres: 2.62902e-08, relerr: 3.46157e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1280, iter: 36, t: 0.057726, relres: 3.65924e-08, relerr: 4.75667e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1280, iter: 34, t: 0.054855, relres: 2.47674e-08, relerr: 3.21743e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1280, iter: 29, t: 0.045471, relres: 2.0729e-08, relerr: 2.58018e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1280, iter: 34, t: 0.052264, relres: 3.74972e-08, relerr: 4.96092e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1280, iter: 28, t: 0.046091, relres: 2.97004e-08, relerr: 3.95109e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1280, iter: 27, t: 0.042058, relres: 1.90262e-08, relerr: 2.40586e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1280, iter: 28, t: 0.044042, relres: 2.5621e-08, relerr: 3.13773e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1280, iter: 34, t: 0.055584, relres: 3.05879e-08, relerr: 3.71958e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1280, iter: 30, t: 0.046891, relres: 2.16822e-08, relerr: 2.83814e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1280, iter: 28, t: 0.043643, relres: 2.54664e-08, relerr: 3.19978e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1280, iter: 26, t: 0.043281, relres: 2.55045e-08, relerr: 3.5505e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1280, iter: 31, t: 0.050219, relres: 3.0112e-08, relerr: 4.05239e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1280, iter: 30, t: 0.054363, relres: 3.62361e-08, relerr: 4.49118e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1280, iter: 25, t: 0.040572, relres: 2.05472e-08, relerr: 2.60407e-08
