GerSax -> cdp, rand_init, n: 256, m: 1280, iter: 2500, t: 0.662306, relres: 0.369297, relerr: 1.26742
GerSax -> cdp, rand_init, n: 256, m: 1280, iter: 2500, t: 0.677643, relres: 0.393691, relerr: 1.28199
GerSax -> cdp, rand_init, n: 256, m: 1280, iter: 298, t: 0.091303, relres: 9.26555e-09, relerr: 2.15074e-08
GerSax -> cdp, rand_init, n: 256, m: 1280, iter: 271, t: 0.07192, relres: 9.41695e-09, relerr: 2.23997e-08
GerSax -> cdp, rand_init, n: 256, m: 1280, iter: 464, t: 0.133456, relres: 9.78965e-09, relerr: 2.37644e-08
GerSax -> cdp, rand_init, n: 256, m: 1280, iter: 1061, t: 0.319564, relres: 9.42098e-09, relerr: 2.2596e-08
GerSax -> cdp, rand_init, n: 256, m: 1280, iter: 607, t: 0.204913, relres: 9.86456e-09, relerr: 2.18696e-08
GerSax -> cdp, rand_init, n: 256, m: 1280, iter: 2500, t: 0.668439, relres: 0.378903, relerr: 1.17477
GerSax -> cdp, rand_init, n: 256, m: 1280, iter: 253, t: 0.068874, relres: 9.05251e-09, relerr: 2.25405e-08
GerSax -> cdp, rand_init, n: 256, m: 1280, iter: 455, t: 0.127068, relres: 9.00336e-09, relerr: 2.01209e-08
GerSax -> cdp, rand_init, n: 256, m: 1280, iter: 428, t: 0.142624, relres: 9.11421e-09, relerr: 2.28337e-08
GerSax -> cdp, rand_init, n: 256, m: 1280, iter: 712, t: 0.249943, relres: 9.84695e-09, relerr: 2.24851e-08
GerSax -> cdp, rand_init, n: 256, m: 1280, iter: 568, t: 0.192647, relres: 9.16828e-09, relerr: 2.11978e-08
GerSax -> cdp, rand_init, n: 256, m: 1280, iter: 242, t: 0.074895, relres: 9.03607e-09, relerr: 2.3363e-08
GerSax -> cdp, rand_init, n: 256, m: 1280, iter: 2500, t: 0.671655, relres: 0.392228, relerr: 1.38202
GerSax -> cdp, rand_init, n: 256, m: 1280, iter: 569, t: 0.153436, relres: 9.16326e-09, relerr: 2.2687e-08
GerSax -> cdp, rand_init, n: 256, m: 1280, iter: 2500, t: 0.675243, relres: 0.383523, relerr: 1.31842
GerSax -> cdp, rand_init, n: 256, m: 1280, iter: 322, t: 0.088976, relres: 9.2516e-09, relerr: 2.18477e-08
GerSax -> cdp, rand_init, n: 256, m: 1280, iter: 2500, t: 0.685138, relres: 0.397247, relerr: 1.37014
GerSax -> cdp, rand_init, n: 256, m: 1280, iter: 549, t: 0.193484, relres: 9.57719e-09, relerr: 2.2632e-08
GerSax -> cdp, rand_init, n: 256, m: 1536, iter: 735, t: 0.220407, relres: 9.24086e-09, relerr: 2.04036e-08
GerSax -> cdp, rand_init, n: 256, m: 1536, iter: 1066, t: 0.386515, relres: 9.17321e-09, relerr: 1.97308e-08
GerSax -> cdp, rand_init, n: 256, m: 1536, iter: 231, t: 0.072046, relres: 9.93579e-09, relerr: 2.05873e-08
GerSax -> cdp, rand_init, n: 256, m: 1536, iter: 247, t: 0.076893, relres: 9.44905e-09, relerr: 2.15118e-08
GerSax -> cdp, rand_init, n: 256, m: 1536, iter: 231, t: 0.075828, relres: 8.94646e-09, relerr: 1.90834e-08
GerSax -> cdp, rand_init, n: 256, m: 1536, iter: 904, t: 0.276295, relres: 9.62235e-09, relerr: 1.97883e-08
GerSax -> cdp, rand_init, n: 256, m: 1536, iter: 179, t: 0.055192, relres: 8.92166e-09, relerr: 1.94185e-08
GerSax -> cdp, rand_init, n: 256, m: 1536, iter: 231, t: 0.071382, relres: 9.7747e-09, relerr: 1.98476e-08
GerSax -> cdp, rand_init, n: 256, m: 1536, iter: 234, t: 0.073051, relres: 9.29181e-09, relerr: 1.89414e-08
GerSax -> cdp, rand_init, n: 256, m: 1536, iter: 332, t: 0.107764, relres: 9.15979e-09, relerr: 1.96067e-08
GerSax -> cdp, rand_init, n: 256, m: 1536, iter: 136, t: 0.04204, relres: 9.47434e-09, relerr: 1.99973e-08
GerSax -> cdp, rand_init, n: 256, m: 1536, iter: 2500, t: 0.76341, relres: 0.43803, relerr: 1.3664
GerSax -> cdp, rand_init, n: 256, m: 1536, iter: 227, t: 0.069921, relres: 9.78895e-09, relerr: 2.07967e-08
GerSax -> cdp, rand_init, n: 256, m: 1536, iter: 553, t: 0.180134, relres: 9.57473e-09, relerr: 1.94847e-08
