GerSax -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 4.12254, relres: 0.102233, relerr: 1.14736
GerSax -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 4.1683, relres: 0.0880356, relerr: 1.21262
GerSax -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 4.22208, relres: 0.0931634, relerr: 1.06774
GerSax -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 4.08862, relres: 0.102957, relerr: 1.21126
GerSax -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 4.1105, relres: 0.0973683, relerr: 1.18862
GerSax -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 4.21171, relres: 0.096868, relerr: 1.17336
GerSax -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 4.34402, relres: 0.0919909, relerr: 1.24371
GerSax -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 5.34853, relres: 0.0902997, relerr: 1.0898
GerSax -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 4.41554, relres: 0.115608, relerr: 1.25888
GerSax -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 4.33733, relres: 0.0818127, relerr: 1.00715
GerSax -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 4.81337, relres: 0.100664, relerr: 1.13982
GerSax -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 4.50504, relres: 0.0834021, relerr: 1.31362
GerSax -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 4.17746, relres: 0.0935403, relerr: 1.14049
GerSax -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 4.90562, relres: 0.0898459, relerr: 1.321
GerSax -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 5.10701, relres: 0.101797, relerr: 1.2862
GerSax -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 4.13476, relres: 0.101841, relerr: 1.33591
GerSax -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 4.14712, relres: 0.107379, relerr: 1.22815
GerSax -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 4.4481, relres: 0.100387, relerr: 1.37678
GerSax -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 4.53049, relres: 0.092206, relerr: 1.30345
GerSax -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 4.62045, relres: 0.100425, relerr: 1.172
GerSax -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 4.62101, relres: 0.0986531, relerr: 1.18969
GerSax -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 5.3619, relres: 0.101009, relerr: 1.26961
GerSax -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 7.58062, relres: 0.0844817, relerr: 1.31181
GerSax -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 5.19369, relres: 0.0947498, relerr: 1.08475
GerSax -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 4.08099, relres: 0.0982702, relerr: 1.09636
GerSax -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 4.18748, relres: 0.103931, relerr: 1.25177
GerSax -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 4.36551, relres: 0.104396, relerr: 1.20595
GerSax -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 4.14841, relres: 0.0980967, relerr: 1.32413
GerSax -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 4.03633, relres: 0.0983601, relerr: 1.14139
GerSax -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 4.12904, relres: 0.0978113, relerr: 1.18597
GerSax -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 4.05809, relres: 0.0893149, relerr: 1.07396
GerSax -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 4.16665, relres: 0.104573, relerr: 1.29261
GerSax -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 4.3811, relres: 0.0869086, relerr: 1.13857
GerSax -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 4.13496, relres: 0.105316, relerr: 1.25152
GerSax -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 5.00438, relres: 0.104603, relerr: 1.18386
GerSax -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 4.52166, relres: 0.121393, relerr: 1.19189
GerSax -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 4.35959, relres: 0.118142, relerr: 1.0182
GerSax -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 4.32411, relres: 0.115051, relerr: 1.17131
GerSax -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 6.87735, relres: 0.124751, relerr: 1.27276
GerSax -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 4.95004, relres: 0.129672, relerr: 1.16312
GerSax -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 4.98383, relres: 0.132931, relerr: 1.26329
GerSax -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 4.39718, relres: 0.133539, relerr: 1.21456
GerSax -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 4.40989, relres: 0.12603, relerr: 1.31584
GerSax -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 4.54174, relres: 0.136018, relerr: 1.21043
GerSax -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 4.27429, relres: 0.110339, relerr: 1.01561
GerSax -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 4.38342, relres: 0.136672, relerr: 1.20852
GerSax -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 4.38454, relres: 0.111624, relerr: 1.32459
GerSax -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 4.8669, relres: 0.112038, relerr: 1.10713
GerSax -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 4.50896, relres: 0.12228, relerr: 1.17342
GerSax -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 4.43234, relres: 0.0963891, relerr: 0.866305
GerSax -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 4.3389, relres: 0.135695, relerr: 1.31317
GerSax -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 4.51731, relres: 0.141091, relerr: 1.04184
GerSax -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 4.41329, relres: 0.127477, relerr: 1.1499
GerSax -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 4.27153, relres: 0.120992, relerr: 1.2409
GerSax -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 4.66613, relres: 0.14539, relerr: 1.15802
GerSax -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 5.28559, relres: 0.106261, relerr: 0.988072
GerSax -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 4.44723, relres: 0.133187, relerr: 1.23305
GerSax -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 5.12876, relres: 0.123014, relerr: 1.10558
GerSax -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 4.41822, relres: 0.121867, relerr: 1.19707
GerSax -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 4.3989, relres: 0.118856, relerr: 1.03321
GerSax -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 4.3031, relres: 0.143534, relerr: 1.25684
GerSax -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 4.23694, relres: 0.123371, relerr: 1.09854
GerSax -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 4.3922, relres: 0.105139, relerr: 0.89478
GerSax -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 4.36733, relres: 0.120579, relerr: 1.06856
GerSax -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 4.37057, relres: 0.136169, relerr: 1.26723
GerSax -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 4.29962, relres: 0.128973, relerr: 1.06119
GerSax -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 4.4145, relres: 0.14509, relerr: 1.25037
GerSax -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 4.27318, relres: 0.130442, relerr: 1.14528
GerSax -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 4.34737, relres: 0.112078, relerr: 1.11094
GerSax -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 4.30917, relres: 0.0864406, relerr: 0.746239
GerSax -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 4.33586, relres: 0.138676, relerr: 1.11718
GerSax -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 4.25388, relres: 0.124057, relerr: 1.07042
GerSax -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 4.36346, relres: 0.113352, relerr: 1.0718
GerSax -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 4.25575, relres: 0.126105, relerr: 1.197
GerSax -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 4.41127, relres: 0.150342, relerr: 1.2846
GerSax -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 4.34258, relres: 0.108543, relerr: 1.2187
GerSax -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 4.23091, relres: 0.138604, relerr: 1.17297
GerSax -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 4.29973, relres: 0.142125, relerr: 1.31871
GerSax -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 4.28707, relres: 0.131024, relerr: 1.16256
GerSax -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 4.29784, relres: 0.131349, relerr: 1.35678
GerSax -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 4.30096, relres: 0.11802, relerr: 0.852341
GerSax -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 4.33475, relres: 0.131004, relerr: 1.10967
GerSax -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 4.31889, relres: 0.129983, relerr: 1.2623
GerSax -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 4.25881, relres: 0.139335, relerr: 1.08177
GerSax -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 4.30543, relres: 0.14546, relerr: 1.22165
GerSax -> unitary, complex, eig_init, n: 256, m: 728, iter: 2500, t: 4.50639, relres: 0.153388, relerr: 0.947471
GerSax -> unitary, complex, eig_init, n: 256, m: 728, iter: 2500, t: 4.36644, relres: 0.144249, relerr: 1.09762
GerSax -> unitary, complex, eig_init, n: 256, m: 728, iter: 2500, t: 4.50329, relres: 0.172963, relerr: 1.1527
GerSax -> unitary, complex, eig_init, n: 256, m: 728, iter: 2500, t: 4.51572, relres: 0.142407, relerr: 0.955228
GerSax -> unitary, complex, eig_init, n: 256, m: 728, iter: 2500, t: 4.68417, relres: 0.154311, relerr: 0.942622
GerSax -> unitary, complex, eig_init, n: 256, m: 728, iter: 2500, t: 4.41136, relres: 0.170258, relerr: 1.07927
GerSax -> unitary, complex, eig_init, n: 256, m: 728, iter: 2500, t: 4.66358, relres: 0.148753, relerr: 0.935467
GerSax -> unitary, complex, eig_init, n: 256, m: 728, iter: 2500, t: 4.60741, relres: 0.151776, relerr: 1.1061
GerSax -> unitary, complex, eig_init, n: 256, m: 728, iter: 2500, t: 4.72089, relres: 0.130636, relerr: 0.97075
