Wirtinger -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 10.8445, relres: 0.508631, relerr: 0.998694
Wirtinger -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 9.04149, relres: 0.471146, relerr: 1.13007
Wirtinger -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 10.0987, relres: 0.500759, relerr: 0.981435
Wirtinger -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 10.7189, relres: 0.513071, relerr: 1.03837
Wirtinger -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 9.95837, relres: 0.518121, relerr: 1.03275
Wirtinger -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 11.5815, relres: 0.534198, relerr: 0.964891
Wirtinger -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 11.4106, relres: 0.495187, relerr: 0.888175
Wirtinger -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 12.3615, relres: 0.557679, relerr: 0.987687
Wirtinger -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 14.3075, relres: 0.454937, relerr: 1.0127
Wirtinger -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 11.4913, relres: 0.565015, relerr: 0.97115
Wirtinger -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 11.6593, relres: 0.497249, relerr: 1.13288
Wirtinger -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 13.6275, relres: 0.526716, relerr: 1.02068
Wirtinger -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 11.7224, relres: 0.516596, relerr: 1.21687
Wirtinger -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 9.37279, relres: 0.491005, relerr: 0.936163
Wirtinger -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 12.2746, relres: 0.464466, relerr: 0.768977
Wirtinger -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 11.5851, relres: 0.484954, relerr: 1.02162
Wirtinger -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 10.6601, relres: 0.486545, relerr: 1.16706
Wirtinger -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 11.6243, relres: 0.516164, relerr: 1.0196
Wirtinger -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 11.9282, relres: 0.514297, relerr: 0.956721
Wirtinger -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 10.4627, relres: 0.453351, relerr: 0.792375
Wirtinger -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 11.4863, relres: 0.498466, relerr: 1.09602
Wirtinger -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 12.4749, relres: 0.473997, relerr: 0.898082
Wirtinger -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 10.5375, relres: 0.493217, relerr: 1.00207
Wirtinger -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 10.8312, relres: 0.535206, relerr: 1.02822
Wirtinger -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 12.1015, relres: 0.494804, relerr: 0.978657
Wirtinger -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 11.0796, relres: 0.46852, relerr: 0.833427
Wirtinger -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 12.1193, relres: 0.521502, relerr: 0.93449
Wirtinger -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 9.52711, relres: 0.526146, relerr: 0.9391
Wirtinger -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 12.3964, relres: 0.572977, relerr: 0.964159
Wirtinger -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 11.411, relres: 0.455376, relerr: 0.80846
Wirtinger -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 11.5868, relres: 0.525639, relerr: 1.07061
Wirtinger -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 10.4176, relres: 0.503388, relerr: 0.918703
Wirtinger -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 11.616, relres: 0.497199, relerr: 0.856878
Wirtinger -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 11.3372, relres: 0.486199, relerr: 0.841361
Wirtinger -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 10.1728, relres: 0.463491, relerr: 1.06097
Wirtinger -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 11.3472, relres: 0.521005, relerr: 0.923934
Wirtinger -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 11.6109, relres: 0.523055, relerr: 1.0558
Wirtinger -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 11.2374, relres: 0.494532, relerr: 0.945973
Wirtinger -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 11.3162, relres: 0.460658, relerr: 0.95878
Wirtinger -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 11.6012, relres: 0.425824, relerr: 0.785751
Wirtinger -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 11.5224, relres: 0.487396, relerr: 1.07502
Wirtinger -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 11.3845, relres: 0.47121, relerr: 0.888076
Wirtinger -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 11.4707, relres: 0.483077, relerr: 0.898986
Wirtinger -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 10.2391, relres: 0.531856, relerr: 1.00519
Wirtinger -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 11.4302, relres: 0.532721, relerr: 1.0739
