Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 620, iter: 500, t: 53.9418, relres: 0.133896, relerr: 1.30742
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 620, iter: 500, t: 57.6448, relres: 0.161242, relerr: 1.23793
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 620, iter: 500, t: 63.7904, relres: 0.136329, relerr: 1.23417
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 620, iter: 500, t: 61.8513, relres: 0.154377, relerr: 1.35143
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 620, iter: 500, t: 61.5787, relres: 0.153005, relerr: 1.32502
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 620, iter: 500, t: 63.3972, relres: 0.131958, relerr: 1.32148
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 620, iter: 500, t: 52.6122, relres: 0.154885, relerr: 1.34003
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 620, iter: 500, t: 52.0717, relres: 0.151462, relerr: 1.33086
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 620, iter: 500, t: 52.7855, relres: 0.162241, relerr: 1.37766
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 620, iter: 500, t: 52.3048, relres: 0.144909, relerr: 1.2354
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 620, iter: 500, t: 52.2602, relres: 0.156103, relerr: 1.28729
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 620, iter: 500, t: 52.742, relres: 0.150469, relerr: 1.37244
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 620, iter: 500, t: 51.7198, relres: 0.148017, relerr: 1.37777
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 620, iter: 500, t: 51.9918, relres: 0.158115, relerr: 1.19825
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 620, iter: 500, t: 52.3474, relres: 0.169694, relerr: 1.32872
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 620, iter: 500, t: 55.1206, relres: 0.165213, relerr: 1.3204
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 620, iter: 500, t: 54.7892, relres: 0.126766, relerr: 1.33797
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 620, iter: 500, t: 56.5122, relres: 0.143329, relerr: 1.31489
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 620, iter: 500, t: 54.3947, relres: 0.140667, relerr: 1.33506
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 620, iter: 500, t: 52.9709, relres: 0.176031, relerr: 1.24571
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 620, iter: 500, t: 52.9877, relres: 0.124897, relerr: 1.27049
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 620, iter: 500, t: 52.0172, relres: 0.177945, relerr: 1.30946
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 620, iter: 500, t: 52.6095, relres: 0.162729, relerr: 1.30038
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 620, iter: 500, t: 55.8182, relres: 0.132413, relerr: 1.2895
