Wirtinger -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 3.7304, relres: 0.419427, relerr: 0.661499
Wirtinger -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 5.05844, relres: 0.411474, relerr: 0.579905
Wirtinger -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 3.67095, relres: 0.490701, relerr: 0.909589
Wirtinger -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 5.57877, relres: 0.381138, relerr: 0.548458
Wirtinger -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 4.54803, relres: 0.446435, relerr: 0.67813
Wirtinger -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 5.5226, relres: 0.45439, relerr: 1.09243
Wirtinger -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 4.24721, relres: 0.405256, relerr: 0.539901
Wirtinger -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 5.42209, relres: 0.480082, relerr: 0.869637
Wirtinger -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 4.79279, relres: 0.443541, relerr: 0.788782
Wirtinger -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 5.99177, relres: 0.47413, relerr: 0.923029
Wirtinger -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 3.13841, relres: 0.387132, relerr: 0.558797
Wirtinger -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 4.78934, relres: 0.497961, relerr: 0.852359
Wirtinger -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 7.66997, relres: 0.414469, relerr: 0.608043
Wirtinger -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 5.57614, relres: 0.444949, relerr: 0.818962
Wirtinger -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 3.55999, relres: 0.399408, relerr: 0.729318
Wirtinger -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 4.63688, relres: 0.421467, relerr: 0.880398
Wirtinger -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 3.37497, relres: 0.467343, relerr: 0.687725
Wirtinger -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 4.63471, relres: 0.358424, relerr: 0.450118
Wirtinger -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 3.62582, relres: 0.371112, relerr: 0.44935
Wirtinger -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 4.62579, relres: 0.324669, relerr: 0.485617
Wirtinger -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 3.79855, relres: 0.335806, relerr: 0.470175
Wirtinger -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 4.20136, relres: 0.311233, relerr: 0.451845
Wirtinger -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 3.02703, relres: 0.515764, relerr: 0.849226
Wirtinger -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 4.05209, relres: 0.364302, relerr: 0.447998
Wirtinger -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 2.96853, relres: 0.280116, relerr: 0.3809
Wirtinger -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 4.22495, relres: 0.386558, relerr: 0.538915
Wirtinger -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 3.11223, relres: 0.433616, relerr: 0.615983
Wirtinger -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 4.30233, relres: 0.453646, relerr: 0.69562
Wirtinger -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 3.14006, relres: 0.424285, relerr: 0.575315
Wirtinger -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 4.22222, relres: 0.369892, relerr: 0.592597
Wirtinger -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 3.13792, relres: 0.308621, relerr: 0.430735
Wirtinger -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 4.2119, relres: 0.294189, relerr: 0.409076
Wirtinger -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 2.98371, relres: 0.3902, relerr: 0.527104
Wirtinger -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 4.20833, relres: 0.426839, relerr: 0.616431
Wirtinger -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 2.96077, relres: 0.370831, relerr: 0.583081
Wirtinger -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 4.12275, relres: 0.552945, relerr: 1.00834
Wirtinger -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 2.83575, relres: 0.2739, relerr: 0.380212
Wirtinger -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 4.11545, relres: 0.374701, relerr: 0.559146
Wirtinger -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 2.97186, relres: 0.41545, relerr: 0.610091
Wirtinger -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 4.1788, relres: 0.39606, relerr: 0.785402
