GerSax -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.05913, relres: 0.737983, relerr: 0.871363
GerSax -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.03731, relres: 0.772721, relerr: 0.879069
GerSax -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.05168, relres: 0.96487, relerr: 1.1056
GerSax -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.12348, relres: 0.618898, relerr: 0.698587
GerSax -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.11018, relres: 0.973475, relerr: 0.976197
GerSax -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.1157, relres: 0.585293, relerr: 0.788374
GerSax -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.1806, relres: 0.819394, relerr: 0.945078
GerSax -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.14236, relres: 0.77078, relerr: 0.903093
GerSax -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.08467, relres: 0.677482, relerr: 0.846404
GerSax -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.09388, relres: 0.741053, relerr: 0.806577
GerSax -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.05601, relres: 0.941522, relerr: 0.958313
GerSax -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.10129, relres: 0.885369, relerr: 0.938951
GerSax -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.15394, relres: 0.845592, relerr: 0.823091
GerSax -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.22053, relres: 0.71088, relerr: 1.01501
GerSax -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.08445, relres: 0.92728, relerr: 0.954516
GerSax -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.1632, relres: 0.941654, relerr: 1.10321
GerSax -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.11978, relres: 0.787915, relerr: 0.903342
GerSax -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.11795, relres: 0.606788, relerr: 0.730529
GerSax -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.05169, relres: 0.69622, relerr: 0.838813
GerSax -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.07896, relres: 0.819637, relerr: 0.998032
GerSax -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.1966, relres: 0.650506, relerr: 0.795217
GerSax -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.45399, relres: 0.62626, relerr: 0.731119
GerSax -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.36216, relres: 0.708189, relerr: 0.781432
GerSax -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.45644, relres: 0.71295, relerr: 0.930346
GerSax -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.28761, relres: 0.780514, relerr: 0.774441
GerSax -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.34132, relres: 0.848778, relerr: 1.03395
GerSax -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.39813, relres: 0.625351, relerr: 0.80225
GerSax -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.59935, relres: 0.744178, relerr: 0.81417
GerSax -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.345, relres: 0.760168, relerr: 0.742985
GerSax -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.49141, relres: 0.821456, relerr: 0.91
GerSax -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.31381, relres: 0.75122, relerr: 1.04392
GerSax -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.51486, relres: 0.687704, relerr: 0.838611
GerSax -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.445, relres: 0.809285, relerr: 0.825566
GerSax -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.41841, relres: 0.76394, relerr: 0.850364
GerSax -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.39746, relres: 0.80343, relerr: 1.027
GerSax -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.48655, relres: 0.794201, relerr: 0.802092
GerSax -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.39433, relres: 0.882953, relerr: 0.982302
GerSax -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.48344, relres: 0.715064, relerr: 0.778306
GerSax -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.462, relres: 0.874855, relerr: 0.884835
GerSax -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.48202, relres: 0.926137, relerr: 0.910836
GerSax -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.4648, relres: 0.633079, relerr: 0.713939
GerSax -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.5133, relres: 0.646947, relerr: 0.790993
GerSax -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.30656, relres: 0.766127, relerr: 0.911213
GerSax -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.39928, relres: 0.722507, relerr: 0.807255
GerSax -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.40038, relres: 0.809442, relerr: 0.977341
GerSax -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.40175, relres: 0.892681, relerr: 0.998623
GerSax -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.33118, relres: 0.742565, relerr: 0.912775
GerSax -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.44656, relres: 0.455819, relerr: 0.547987
GerSax -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.38602, relres: 0.86774, relerr: 0.981265
