Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 620, iter: 500, t: 24.1635, relres: 0.58959, relerr: 1.26344
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 620, iter: 500, t: 22.152, relres: 0.59342, relerr: 1.28161
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 620, iter: 500, t: 21.7861, relres: 0.545534, relerr: 1.12472
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 620, iter: 500, t: 21.8887, relres: 0.59481, relerr: 1.34683
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 620, iter: 500, t: 22.5157, relres: 0.582599, relerr: 1.34681
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 620, iter: 500, t: 21.1955, relres: 0.610427, relerr: 1.17212
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 674, iter: 500, t: 24.3372, relres: 0.520488, relerr: 1.20336
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 674, iter: 500, t: 22.8268, relres: 0.597723, relerr: 1.441
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 674, iter: 500, t: 25.7719, relres: 0.664405, relerr: 1.42307
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 674, iter: 500, t: 24.9748, relres: 0.636556, relerr: 1.27524
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 674, iter: 500, t: 24.6778, relres: 0.657301, relerr: 1.39133
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 674, iter: 500, t: 23.3223, relres: 0.603281, relerr: 1.36841
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 674, iter: 500, t: 25.9961, relres: 0.568836, relerr: 1.21725
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 674, iter: 500, t: 26.1657, relres: 0.695312, relerr: 1.44495
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 674, iter: 500, t: 24.6619, relres: 0.655967, relerr: 1.26198
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 674, iter: 500, t: 22.7282, relres: 0.617949, relerr: 1.41338
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 674, iter: 500, t: 26.1868, relres: 0.557367, relerr: 0.970078
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 674, iter: 500, t: 26.3334, relres: 0.505314, relerr: 0.78614
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 674, iter: 500, t: 25.595, relres: 0.580263, relerr: 1.27671
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 674, iter: 500, t: 23.5057, relres: 0.583128, relerr: 1.05988
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 674, iter: 500, t: 24.4551, relres: 0.633069, relerr: 1.31499
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 674, iter: 500, t: 23.8266, relres: 0.618494, relerr: 1.39095
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 674, iter: 500, t: 25.1153, relres: 0.64599, relerr: 1.36159
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 674, iter: 500, t: 23.9687, relres: 0.625439, relerr: 1.1316
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 674, iter: 500, t: 24.6082, relres: 0.588467, relerr: 1.13544
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 674, iter: 500, t: 23.0452, relres: 0.54576, relerr: 1.05775
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 674, iter: 500, t: 23.8358, relres: 0.528047, relerr: 0.987607
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 674, iter: 500, t: 22.8963, relres: 0.582431, relerr: 1.14523
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 674, iter: 500, t: 23.6817, relres: 0.568619, relerr: 1.32762
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 674, iter: 500, t: 22.858, relres: 0.624741, relerr: 1.34368
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 674, iter: 500, t: 23.7275, relres: 0.652885, relerr: 1.28193
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 674, iter: 500, t: 22.9758, relres: 0.616171, relerr: 1.34728
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 674, iter: 500, t: 23.6252, relres: 0.63946, relerr: 1.30618
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 674, iter: 500, t: 22.9768, relres: 0.533729, relerr: 0.970989
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 674, iter: 500, t: 23.5781, relres: 0.609812, relerr: 1.17323
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 674, iter: 500, t: 23.0032, relres: 0.552515, relerr: 0.913384
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 674, iter: 500, t: 29.6558, relres: 0.587551, relerr: 0.996634
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 674, iter: 500, t: 30.7236, relres: 0.651072, relerr: 1.27358
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 674, iter: 500, t: 31.5795, relres: 0.588996, relerr: 1.23938
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 674, iter: 500, t: 29.9877, relres: 0.531416, relerr: 0.969196
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 674, iter: 500, t: 27.5676, relres: 0.545475, relerr: 1.12634
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 674, iter: 500, t: 22.7646, relres: 0.592073, relerr: 1.39316
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 674, iter: 500, t: 23.7431, relres: 0.645736, relerr: 1.40109
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 674, iter: 500, t: 22.942, relres: 0.611347, relerr: 1.36488
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 674, iter: 500, t: 24.5329, relres: 0.665244, relerr: 1.35649
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 674, iter: 500, t: 23.4494, relres: 0.601611, relerr: 1.37207
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 674, iter: 500, t: 26.7952, relres: 0.604983, relerr: 1.3328
