Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 3, iter: 13, t: 62.6272, relres: 1.29708e-11, relerr: 1.36667e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 1, iter: 11, t: 54.5179, relres: 2.95292e-11, relerr: 3.11409e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 2, iter: 14, t: 69.1134, relres: 4.0479e-12, relerr: 4.26948e-12
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 3, iter: 13, t: 62.9017, relres: 7.55628e-12, relerr: 7.96762e-12
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 1, iter: 13, t: 62.4076, relres: 1.60265e-12, relerr: 1.69057e-12
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 2, iter: 12, t: 57.672, relres: 3.36469e-11, relerr: 3.54887e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 3, iter: 13, t: 64.4092, relres: 2.15103e-11, relerr: 2.26755e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 1, iter: 15, t: 72.7826, relres: 6.7052e-12, relerr: 7.07122e-12
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 2, iter: 15, t: 71.8028, relres: 5.43136e-12, relerr: 5.72505e-12
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 3, iter: 18, t: 86.498, relres: 2.22531e-12, relerr: 2.34628e-12
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 1, iter: 14, t: 70.1901, relres: 1.86919e-12, relerr: 1.97067e-12
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 2, iter: 11, t: 56.295, relres: 1.12724e-11, relerr: 1.18796e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 3, iter: 13, t: 65.3923, relres: 2.0266e-11, relerr: 2.13709e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 1, iter: 13, t: 63.124, relres: 9.84387e-12, relerr: 1.03746e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 2, iter: 13, t: 63.819, relres: 3.27763e-12, relerr: 3.45353e-12
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 3, iter: 13, t: 64.1933, relres: 2.01137e-12, relerr: 2.11975e-12
