Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 136.704, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 134.87, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 135.695, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 135.259, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 136.093, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 133.28, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 393216, iter: 2500, t: 169.772, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 393216, iter: 2500, t: 162.509, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 393216, iter: 2500, t: 169.965, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 393216, iter: 2500, t: 166.322, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 393216, iter: 2500, t: 109.666, relres: 0.367374, relerr: 1.25928
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 393216, iter: 2500, t: 166.889, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 393216, iter: 2500, t: 164.334, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 393216, iter: 2500, t: 166.736, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 393216, iter: 2500, t: 167.912, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 393216, iter: 2500, t: 163.905, relres: NaN, relerr: NaN
