Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 14.6311, relres: 0.158786, relerr: 0.967185
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 13.846, relres: 0.192138, relerr: 1.28647
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 14.0022, relres: 0.179162, relerr: 1.37678
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 13.7678, relres: 0.20201, relerr: 1.36464
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 14.255, relres: 0.174736, relerr: 1.52952
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 13.7163, relres: 0.157073, relerr: 1.17382
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 13.6336, relres: 0.164651, relerr: 1.25074
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 13.8212, relres: 0.179678, relerr: 1.38421
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 13.8206, relres: 0.14915, relerr: 1.55942
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 13.8968, relres: 0.180461, relerr: 1.22917
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 13.6705, relres: 0.148761, relerr: 1.17252
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 13.6967, relres: 0.159547, relerr: 1.43939
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 14.2292, relres: 0.199362, relerr: 1.36037
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 15.6562, relres: 0.143951, relerr: 1.23783
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 13.7998, relres: 0.166632, relerr: 1.29431
