Wirtinger -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 9.54728, relres: 0.0772363, relerr: 1.07806
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 8.25653, relres: 0.0775567, relerr: 1.3553
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 7.00308, relres: 0.0823897, relerr: 1.33049
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 6.84335, relres: 0.0717578, relerr: 1.30405
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 7.995, relres: 0.0704884, relerr: 1.22577
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 7.88151, relres: 0.0560877, relerr: 0.917796
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 7.51342, relres: 0.059823, relerr: 1.0524
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 6.66607, relres: 0.0543403, relerr: 1.00518
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 6.8475, relres: 0.0783381, relerr: 1.33904
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 6.84907, relres: 0.077631, relerr: 1.39765
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 6.92829, relres: 0.0773593, relerr: 1.24707
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 6.90415, relres: 0.0903147, relerr: 1.54846
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 6.89379, relres: 0.0638357, relerr: 1.14949
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 7.97192, relres: 0.0973827, relerr: 1.09682
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 7.95153, relres: 0.108649, relerr: 1.49123
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 7.84492, relres: 0.0940859, relerr: 0.966393
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 13.9329, relres: 0.0890381, relerr: 1.08378
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 9.11245, relres: 0.0979783, relerr: 1.33398
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 12.2308, relres: 0.104898, relerr: 1.31511
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 19.1135, relres: 0.0962268, relerr: 1.15491
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 13.2653, relres: 0.101327, relerr: 1.37573
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 8.37038, relres: 0.109951, relerr: 1.28035
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 7.328, relres: 0.0862026, relerr: 0.969898
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 7.52068, relres: 0.104003, relerr: 1.53175
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 7.14093, relres: 0.111877, relerr: 1.44036
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 7.65921, relres: 0.0848969, relerr: 1.12388
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 7.26237, relres: 0.0819708, relerr: 0.930592
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 8.40206, relres: 0.0717686, relerr: 0.844312
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 7.28837, relres: 0.110692, relerr: 1.20692
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 7.4625, relres: 0.0980816, relerr: 1.14539
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 7.20958, relres: 0.0823214, relerr: 1.29252
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 7.36087, relres: 0.100973, relerr: 1.28766
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 7.01164, relres: 0.0646956, relerr: 0.711324
