Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 15.4452, relres: 0.16302, relerr: 1.54271
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 15.597, relres: 0.144692, relerr: 1.5191
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 15.8834, relres: 0.155077, relerr: 1.50175
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 14.8579, relres: 0.145761, relerr: 1.34184
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 16.0809, relres: 0.145529, relerr: 1.54434
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 16.1919, relres: 0.159322, relerr: 1.46642
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 18.0643, relres: 0.150393, relerr: 1.34208
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 14.7394, relres: 0.137883, relerr: 1.32382
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 13.3496, relres: 0.185524, relerr: 1.46679
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 12.5312, relres: 0.165412, relerr: 1.51892
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 15.2066, relres: 0.150069, relerr: 1.32286
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 12.5483, relres: 0.148707, relerr: 1.43018
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 13.2796, relres: 0.156715, relerr: 1.58904
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 14.6219, relres: 0.19394, relerr: 1.44449
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 14.5612, relres: 0.19259, relerr: 1.43101
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 13.8484, relres: 0.202643, relerr: 1.40897
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 15.1109, relres: 0.214496, relerr: 1.55705
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 14.6916, relres: 0.184273, relerr: 1.37904
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 14.3062, relres: 0.196311, relerr: 1.51455
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 15.0982, relres: 0.180585, relerr: 1.40999
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 14.2193, relres: 0.234364, relerr: 1.41505
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 15.1047, relres: 0.176448, relerr: 1.28608
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 14.7197, relres: 0.218791, relerr: 1.45146
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 14.6055, relres: 0.186143, relerr: 1.33315
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 14.1696, relres: 0.220601, relerr: 1.46259
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 14.6076, relres: 0.209851, relerr: 1.48009
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 14.7356, relres: 0.172547, relerr: 1.52261
