Wirtinger -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.93404, relres: 0.325124, relerr: 0.0810093
Wirtinger -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.9811, relres: 0.330604, relerr: 0.0893466
Wirtinger -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.92867, relres: 0.231915, relerr: 0.149594
Wirtinger -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.9944, relres: 0.419983, relerr: 0.94871
Wirtinger -> gaussian, real, eig_init, n: 256, m: 674, iter: 711, t: 0.612037, relres: 9.88589e-09, relerr: 3.33351e-08
Wirtinger -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 2.03211, relres: 0.349265, relerr: 1.06978
Wirtinger -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.92938, relres: 0.385553, relerr: 0.0778787
Wirtinger -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.96147, relres: 0.192175, relerr: 0.106015
Wirtinger -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 2.01667, relres: 0.314365, relerr: 1.08303
Wirtinger -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 2.04042, relres: 0.384332, relerr: 0.0911611
Wirtinger -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.98988, relres: 0.323311, relerr: 0.0801816
Wirtinger -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 2.05259, relres: 0.282993, relerr: 0.842823
Wirtinger -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.94453, relres: 0.371319, relerr: 0.101761
Wirtinger -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 2.04409, relres: 0.171551, relerr: 0.0855902
Wirtinger -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 2.00571, relres: 0.234673, relerr: 0.0752004
Wirtinger -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.96592, relres: 0.269844, relerr: 0.0683344
Wirtinger -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 2.01776, relres: 0.257952, relerr: 0.629701
Wirtinger -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 2.04905, relres: 0.112944, relerr: 0.0339302
