Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 21.5313, relres: 1.06032, relerr: 1.57126
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 620, iter: 264, t: 11.4543, relres: 2.02942e-08, relerr: 2.68797e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 21.5904, relres: 0.917207, relerr: 1.48911
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 620, iter: 285, t: 12.3079, relres: 1.29875e-08, relerr: 1.87188e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 21.5757, relres: 0.871331, relerr: 1.32696
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 21.6559, relres: 0.900391, relerr: 1.52242
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 21.6475, relres: 0.884212, relerr: 1.50149
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 620, iter: 95, t: 4.26798, relres: 1.47708e-08, relerr: 2.00149e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 620, iter: 50, t: 2.23328, relres: 1.48623e-08, relerr: 2.00173e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 21.6675, relres: 0.803916, relerr: 1.18498
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 21.6129, relres: 1.09372, relerr: 1.62685
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 620, iter: 38, t: 1.78634, relres: 2.36463e-08, relerr: 3.28188e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 620, iter: 458, t: 19.8989, relres: 1.55773e-08, relerr: 1.8076e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 620, iter: 146, t: 6.44318, relres: 1.8522e-08, relerr: 2.40465e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 620, iter: 141, t: 6.32233, relres: 2.19705e-08, relerr: 2.69351e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 21.4908, relres: 1.01625, relerr: 1.5701
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 620, iter: 134, t: 5.88723, relres: 1.29947e-08, relerr: 1.89574e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 620, iter: 290, t: 12.548, relres: 3.34792e-08, relerr: 4.08644e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 620, iter: 170, t: 7.46771, relres: 1.41038e-08, relerr: 1.97353e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 620, iter: 100, t: 4.4813, relres: 2.40732e-08, relerr: 2.8413e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 21.6837, relres: 0.910805, relerr: 1.48338
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 620, iter: 390, t: 16.779, relres: 3.46413e-08, relerr: 4.7709e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 674, iter: 418, t: 19.5294, relres: 1.84642e-08, relerr: 2.34502e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 674, iter: 101, t: 4.99494, relres: 1.3794e-08, relerr: 1.73082e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 674, iter: 78, t: 3.72243, relres: 2.4603e-08, relerr: 3.4756e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 674, iter: 124, t: 6.1225, relres: 2.22859e-08, relerr: 2.70647e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 674, iter: 500, t: 23.3695, relres: 1.09777, relerr: 1.55787
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 674, iter: 57, t: 2.83653, relres: 1.83069e-08, relerr: 2.78223e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 674, iter: 218, t: 10.2674, relres: 2.64595e-08, relerr: 3.06231e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 674, iter: 37, t: 1.86845, relres: 1.14411e-08, relerr: 1.38878e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 674, iter: 129, t: 6.17099, relres: 2.1589e-08, relerr: 2.68675e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 674, iter: 236, t: 11.459, relres: 2.94374e-08, relerr: 3.65928e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 674, iter: 35, t: 1.73071, relres: 1.39809e-08, relerr: 1.66345e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 674, iter: 50, t: 2.52291, relres: 9.63983e-09, relerr: 1.42395e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 674, iter: 337, t: 15.8946, relres: 8.49172e-09, relerr: 1.01015e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 674, iter: 117, t: 5.9083, relres: 2.03272e-08, relerr: 2.55902e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 674, iter: 189, t: 9.18344, relres: 1.37707e-08, relerr: 1.65129e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 674, iter: 124, t: 6.07567, relres: 2.20737e-08, relerr: 2.95933e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 674, iter: 37, t: 1.83939, relres: 7.84095e-09, relerr: 8.64714e-09
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 674, iter: 41, t: 2.09698, relres: 9.44613e-09, relerr: 1.27266e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 674, iter: 217, t: 10.3617, relres: 2.54406e-08, relerr: 3.46703e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 674, iter: 47, t: 2.40742, relres: 7.3701e-09, relerr: 9.42271e-09
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 674, iter: 89, t: 4.39023, relres: 2.1252e-08, relerr: 2.97385e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 674, iter: 45, t: 2.26659, relres: 1.47346e-08, relerr: 1.99669e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 674, iter: 225, t: 10.7245, relres: 1.35139e-08, relerr: 1.72515e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 674, iter: 168, t: 8.14511, relres: 7.89693e-09, relerr: 1.02515e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 674, iter: 328, t: 15.4491, relres: 1.2269e-08, relerr: 1.5751e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 674, iter: 84, t: 4.28093, relres: 1.02773e-08, relerr: 1.45876e-08
