Kaczmarz -> gaussian, real, rand_init, n: 256, m: 728, iter: 29, t: 0.622302, relres: 1.39543e-10, relerr: 2.05232e-10
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 728, iter: 30, t: 0.674387, relres: 5.80536e-10, relerr: 7.2685e-10
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 728, iter: 36, t: 0.880837, relres: 3.11236e-10, relerr: 3.82216e-10
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 728, iter: 30, t: 0.719238, relres: 8.92076e-11, relerr: 1.32635e-10
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 728, iter: 31, t: 0.804986, relres: 6.13058e-11, relerr: 8.35107e-11
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 728, iter: 56, t: 1.27397, relres: 7.66772e-11, relerr: 8.69445e-11
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 728, iter: 31, t: 0.658815, relres: 2.98884e-10, relerr: 4.26738e-10
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 728, iter: 35, t: 0.727024, relres: 4.92421e-10, relerr: 7.46776e-10
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 728, iter: 500, t: 10.3096, relres: 0.530357, relerr: 0.987498
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 728, iter: 500, t: 9.64988, relres: 0.598231, relerr: 1.34267
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 728, iter: 41, t: 0.945223, relres: 1.84748e-09, relerr: 2.73438e-09
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 728, iter: 32, t: 0.729253, relres: 7.29574e-10, relerr: 1.14064e-09
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 728, iter: 500, t: 10.7493, relres: 0.719543, relerr: 1.4762
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 728, iter: 45, t: 0.889932, relres: 1.69612e-10, relerr: 2.23606e-10
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 728, iter: 500, t: 10.6201, relres: 0.640192, relerr: 1.30652
