GerSax -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.06395, relres: 0.441952, relerr: 0.766921
GerSax -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.0253, relres: 0.406157, relerr: 0.693546
GerSax -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.06349, relres: 0.600173, relerr: 0.977603
GerSax -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.02917, relres: 0.553275, relerr: 0.879796
GerSax -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.03092, relres: 0.550283, relerr: 0.932285
GerSax -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.04458, relres: 0.613091, relerr: 1.01901
GerSax -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.06248, relres: 0.586731, relerr: 1.00733
GerSax -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.09745, relres: 0.60691, relerr: 1.04015
GerSax -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.11278, relres: 0.472848, relerr: 0.723909
GerSax -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.03993, relres: 0.684164, relerr: 0.919747
GerSax -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.08901, relres: 0.707137, relerr: 0.959368
GerSax -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.09421, relres: 0.645494, relerr: 0.932189
GerSax -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.07264, relres: 0.412004, relerr: 0.748219
GerSax -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.11816, relres: 0.473832, relerr: 0.834753
GerSax -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.02143, relres: 0.678425, relerr: 0.966903
GerSax -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.03679, relres: 0.463591, relerr: 0.770087
GerSax -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.08922, relres: 0.803075, relerr: 1.01899
GerSax -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.20629, relres: 0.72369, relerr: 0.990888
GerSax -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.12148, relres: 0.707221, relerr: 1.04313
GerSax -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.20088, relres: 0.652959, relerr: 0.97493
GerSax -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.11849, relres: 0.58898, relerr: 0.899746
GerSax -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.17217, relres: 0.752257, relerr: 1.00396
GerSax -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.17898, relres: 0.689017, relerr: 1.06613
GerSax -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.17218, relres: 0.379256, relerr: 0.606087
GerSax -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.1427, relres: 0.563019, relerr: 0.99535
GerSax -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.13371, relres: 0.440368, relerr: 0.669828
GerSax -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.13125, relres: 0.614632, relerr: 1.27986
GerSax -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.13203, relres: 0.696917, relerr: 0.862181
GerSax -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.00378, relres: 0.404128, relerr: 0.756749
GerSax -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.13173, relres: 0.727347, relerr: 0.957761
GerSax -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.12835, relres: 0.65, relerr: 0.983125
GerSax -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.10718, relres: 0.462159, relerr: 0.712049
GerSax -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.11705, relres: 0.483692, relerr: 0.782319
GerSax -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.19405, relres: 0.487146, relerr: 0.773919
GerSax -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.14001, relres: 0.512686, relerr: 0.815064
GerSax -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.13759, relres: 0.52087, relerr: 0.931498
GerSax -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.14271, relres: 0.424857, relerr: 0.631728
GerSax -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.2035, relres: 0.778138, relerr: 1.08529
GerSax -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.15602, relres: 0.541348, relerr: 0.867042
GerSax -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.14307, relres: 0.575935, relerr: 0.893803
GerSax -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.13008, relres: 0.771097, relerr: 0.972149
