GerSax -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 21.3912, relres: 0.0854469, relerr: 1.31999
GerSax -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 20.5441, relres: 0.112312, relerr: 1.57426
GerSax -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 21.5006, relres: 0.0881245, relerr: 1.32712
GerSax -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 19.5162, relres: 0.13701, relerr: 1.01674
GerSax -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 20.9271, relres: 0.146223, relerr: 1.44369
GerSax -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 22.4015, relres: 0.0920056, relerr: 0.765494
GerSax -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 32.8226, relres: 0.114375, relerr: 1.07907
GerSax -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 22.701, relres: 0.117428, relerr: 1.359
GerSax -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 27.1697, relres: 0.136174, relerr: 1.45878
GerSax -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 30.8853, relres: 0.127836, relerr: 1.31114
GerSax -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 27.7846, relres: 0.1256, relerr: 1.39411
GerSax -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 18.6648, relres: 0.119778, relerr: 1.38447
GerSax -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 16.6656, relres: 0.110765, relerr: 1.04961
GerSax -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 18.089, relres: 0.148498, relerr: 1.46678
GerSax -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 18.2668, relres: 0.133951, relerr: 1.5316
GerSax -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 19.0505, relres: 0.135087, relerr: 1.13295
GerSax -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 18.3208, relres: 0.121261, relerr: 1.24545
GerSax -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 18.8806, relres: 0.0821985, relerr: 0.704342
