Kaczmarz -> gaussian, real, eig_init, n: 256, m: 620, iter: 35, t: 0.627124, relres: 6.46458e-10, relerr: 1.14194e-09
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 674, iter: 300, t: 6.46125, relres: 0.436952, relerr: 0.869573
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 674, iter: 47, t: 0.923844, relres: 1.37742e-11, relerr: 1.86335e-11
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 674, iter: 49, t: 1.02441, relres: 1.36904e-09, relerr: 1.97595e-09
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 674, iter: 31, t: 0.581487, relres: 4.95302e-10, relerr: 7.07836e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 674, iter: 29, t: 0.648007, relres: 6.2059e-10, relerr: 8.09357e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 674, iter: 34, t: 0.672069, relres: 9.61445e-11, relerr: 1.41763e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 674, iter: 40, t: 0.919799, relres: 3.98539e-10, relerr: 6.42186e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 674, iter: 32, t: 0.655671, relres: 2.28761e-11, relerr: 3.21299e-11
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 674, iter: 52, t: 1.16427, relres: 1.27465e-09, relerr: 1.65267e-09
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 674, iter: 29, t: 0.674441, relres: 6.46941e-10, relerr: 1.0132e-09
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 674, iter: 300, t: 6.08563, relres: 0.619781, relerr: 1.13235
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 674, iter: 31, t: 0.63778, relres: 1.1289e-10, relerr: 1.84598e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 674, iter: 30, t: 0.598325, relres: 6.45241e-10, relerr: 1.0651e-09
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 674, iter: 29, t: 0.574968, relres: 1.04399e-09, relerr: 1.39099e-09
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 674, iter: 42, t: 0.959827, relres: 2.03807e-10, relerr: 3.04713e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 674, iter: 30, t: 0.632836, relres: 2.44921e-09, relerr: 3.90833e-09
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 674, iter: 32, t: 0.692408, relres: 1.89329e-10, relerr: 2.90328e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 674, iter: 34, t: 0.750797, relres: 7.60403e-11, relerr: 1.09286e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 674, iter: 29, t: 0.650998, relres: 2.90747e-10, relerr: 4.45169e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 674, iter: 34, t: 0.709954, relres: 6.30195e-10, relerr: 8.67462e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 674, iter: 31, t: 0.692636, relres: 3.65525e-10, relerr: 5.31551e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 674, iter: 51, t: 1.12512, relres: 7.71785e-10, relerr: 1.09063e-09
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 674, iter: 31, t: 0.705456, relres: 3.05247e-10, relerr: 4.8666e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 674, iter: 29, t: 0.587582, relres: 1.98625e-09, relerr: 2.90214e-09
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 674, iter: 35, t: 0.775986, relres: 6.31871e-11, relerr: 8.20439e-11
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 674, iter: 31, t: 0.619144, relres: 1.68993e-10, relerr: 2.3668e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 674, iter: 31, t: 0.757874, relres: 2.64381e-10, relerr: 3.85752e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 674, iter: 31, t: 0.661988, relres: 8.53581e-10, relerr: 1.3757e-09
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 674, iter: 28, t: 0.648445, relres: 2.45032e-09, relerr: 4.05162e-09
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 674, iter: 30, t: 0.60266, relres: 5.78489e-10, relerr: 9.183e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 674, iter: 32, t: 0.636687, relres: 1.5881e-10, relerr: 2.32085e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 674, iter: 28, t: 0.525718, relres: 1.04159e-09, relerr: 1.4906e-09
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 674, iter: 36, t: 0.705311, relres: 3.18379e-11, relerr: 5.17764e-11
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 674, iter: 30, t: 0.681786, relres: 3.36733e-10, relerr: 4.58687e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 674, iter: 35, t: 0.845443, relres: 1.62999e-10, relerr: 2.35618e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 674, iter: 300, t: 5.54053, relres: 0.552755, relerr: 1.21106
