Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 58.6816, relres: 0.414673, relerr: 1.48499
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 57.9186, relres: 0.446798, relerr: 1.50222
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 58.6155, relres: 0.389414, relerr: 1.64803
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 56.7493, relres: 0.38217, relerr: 1.41285
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 63.445, relres: 0.364818, relerr: 1.60225
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 63.5607, relres: 0.379807, relerr: 1.47785
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 62.2326, relres: 0.499185, relerr: 1.60662
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 61.4345, relres: 0.485655, relerr: 1.64582
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 46.6415, relres: 0.461181, relerr: 1.58103
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 46.7452, relres: 0.55565, relerr: 1.52049
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 46.8144, relres: 0.486697, relerr: 1.59339
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 46.7716, relres: 0.436778, relerr: 1.5014
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 46.7484, relres: 0.482775, relerr: 1.61852
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 46.7955, relres: 0.451718, relerr: 1.59307
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 50.8849, relres: 0.513183, relerr: 1.46203
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 50.828, relres: 0.41837, relerr: 1.34908
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 51.0759, relres: 0.633146, relerr: 1.53701
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 50.8699, relres: 0.49118, relerr: 1.47157
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 50.7409, relres: 0.521561, relerr: 1.56135
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 50.6608, relres: 0.498836, relerr: 1.52682
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 51.026, relres: 0.53155, relerr: 1.53344
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 50.7133, relres: 0.580239, relerr: 1.54567
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 50.8154, relres: 0.536476, relerr: 1.52586
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 50.7307, relres: 0.512059, relerr: 1.44919
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 50.8902, relres: 0.603669, relerr: 1.52951
